SN,MOVIE_NM,MNG_NM,MAKR_NM,IMPORT_CMPNY_NM,DISTB_CMPNY_NM,OPEN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,WNTY_SCREEN_CO,WNTY_SELNG_AM,WNTY_AUDE_CO,SU_SELNG_AM,SU_AUDE_CO,GENRE_NM,GRAD_NM,MOVIE_SE
70,라스트 레터,이와이 슌지,,(주)미디어캐슬,(주)스튜디오 산타클로스엔터테인먼트,20210224,개봉영화,장편,일본,160,2942000,588,2942000,588,멜로/로맨스,전체관람가,독립/예술영화
71,비밀의 정원,박선주,몬순픽쳐스,,필름다빈,20210408,개봉영화,장편,한국,159,2885000,545,2359000,439,드라마,12세이상관람가,독립/예술영화
72,"사랑하고 사랑받고, 차고 차이고",,,(주)콘텐츠게이트,(주)라이크콘텐츠,20210408,개봉영화,장편,일본,91,5100380,541,3406430,347,애니메이션,전체관람가,독립/예술영화
73,코스믹 씬,,,(유)조이앤시네마,(주)제이앤씨미디어그룹,20210422,개봉영화,장편,미국,53,3037000,481,1000,1,SF,12세이상관람가,일반영화
74,별의 목소리 X 초속5센티미터,신카이 마코토,,,(주)미디어캐슬,20210512,개봉영화,장편,일본,5,2800880,346,2579970,317,애니메이션,12세이상관람가,일반영화
75,컴 애즈 유 아,리차드 웡,,찬란,찬란,20210506,개봉영화,장편,미국,19,2621300,332,1279800,146,코미디,15세이상관람가,일반영화
76,스쿨 오브 락(樂),강호준,(주)콘텐츠나무,,(주)드림팩트엔터테인먼트,20210513,개봉영화,장편,한국,7,2997000,324,2278000,251,다큐멘터리,전체관람가,독립/예술영화
77,써니,오오네 히토시,,(주)콘텐츠판다,(주)콘텐츠판다,20210526,개봉영화,장편,일본,6,2265000,323,2120000,296,드라마,15세이상관람가,독립/예술영화
78,홈런: 야구소년,,,(주)엔케이컨텐츠,(주)엔케이컨텐츠,20210513,개봉영화,장편,중국,8,1515000,302,515000,102,다큐멘터리,전체관람가,일반영화
79,피델리오,"다니엘 바렌보임,데보라 워너",,일미디어,일미디어,20210501,개봉영화,장편,이탈리아,9,7661550,287,5231550,172,공연,12세이상관람가,일반영화
80,점보,,,주식회사 왓챠,주식회사 왓챠,20210505,개봉영화,장편,프랑스,12,2334600,251,1541100,168,드라마,15세이상관람가,일반영화
81,아무도 없는 곳,김종관,볼미디어(주),,(주)엣나인필름,20210331,개봉영화,장편,한국,374,2098000,245,1645500,173,드라마,15세이상관람가,독립/예술영화
82,"무순, 세상을 가로질러",남승석,올록볼록 영화사,,영화배급협동조합 씨네소파,20210422,개봉영화,장편,한국,17,1952500,199,1551000,136,다큐멘터리,전체관람가,독립/예술영화
83,섀도우 클라우드,,,(유)조이앤시네마,(주)제이앤씨미디어그룹,20210422,개봉영화,장편,미국,71,1372000,196,0,0,SF,15세이상관람가,일반영화
84,탐험왕 엘카노&마젤란: 위대한 첫 번째 항해,,,(주)에이원엔터테인먼트,(주)에이원엔터테인먼트,20210506,개봉영화,장편,스페인,5,900000,180,0,0,어드벤처,전체관람가,독립/예술영화
85,턴: 더 스트릿,임석진,"(주)26컴퍼니,발키리픽처스",,(주)26컴퍼니,20210331,개봉영화,장편,한국,34,1530000,153,1530000,153,드라마,12세이상관람가,독립/예술영화
86,소리에 놀라지 않는 사자처럼,윤성준,스튜디오 에이에이,,(주)드림팩트엔터테인먼트,20210519,개봉영화,장편,한국,8,975940,130,178000,23,다큐멘터리,전체관람가,일반영화
87,스파이의 아내,구로사와 기요시,,M&M 인터내셔널,M&M 인터내셔널,20210325,개봉영화,장편,일본,120,1122970,121,1075970,110,드라마,12세이상관람가,독립/예술영화
88,프라미싱 영 우먼,에머랄드 펜넬,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20210224,개봉영화,장편,미국,70,968000,116,624000,60,범죄,15세이상관람가,일반영화
89,코지 판 투테,,,,(주)케빈앤컴퍼니,20210418,개봉영화,장편,독일,7,2921700,114,2285200,90,공연,12세이상관람가,일반영화
90,타인의 친절,론 쉐르픽,,그린나래미디어(주),그린나래미디어(주),20210407,개봉영화,장편,영국,141,976400,106,608900,57,드라마,12세이상관람가,독립/예술영화
91,아방섹,에로핑,비스킷미디어,,(주)메이크아트,20210521,개봉영화,장편,한국,5,500000,100,100000,20,성인물(에로),청소년관람불가,일반영화
92,시니어퀸 : 58년 개띠 여고동창생,김문옥,시네마테크 충무로,,(주)엔비디나비블루다이아몬드,20210511,개봉영화,장편,한국,1,693000,99,693000,99,드라마,12세이상관람가,독립/예술영화
93,8년을 뛰어넘은 신부,제제 다카히사,,(주)미디어캐슬,(주)미디어캐슬,20210507,개봉영화,장편,일본,4,720740,98,548240,68,가족,전체관람가,독립/예술영화
94,극장판 바이올렛 에버가든,이시다테 타이치,,미라지엔터테인먼트,(주)라이크콘텐츠,20201112,개봉영화,장편,일본,131,634000,63,634000,63,애니메이션,전체관람가,독립/예술영화
95,나를 적신 집사 무삭제판,오자키 히로코우지,,,(주)라온컴퍼니플러스,20210525,개봉영화,장편,일본,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
96,나만 몰랐던 성감대 무삭제판,,,,(주)라온컴퍼니플러스,20210525,개봉영화,장편,일본,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
97,네번째 엄마 무삭제,윤경식,(주)픽쳐레스크,,(주)픽쳐레스크,20210506,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
98,레베카: 감출 수 없는 욕망,,,,(주)픽쳐레스크,20210513,개봉영화,장편,미국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
99,마지막 처녀,윤경식,(주)가온콘텐츠,,(주)가온콘텐츠,20210525,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
100,맞고사는 남편,윤경식,(주)가온콘텐츠,,(주)가온콘텐츠,20210525,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
101,봇물터진 사무실 무삭제판,칸바라 나오토,,,(주)라온컴퍼니플러스,20210517,개봉영화,장편,일본,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
102,부부 성생활 연구회 무삭제판,,,,(주)라온컴퍼니플러스,20210517,개봉영화,장편,일본,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
103,불량섹스 무삭제판,료타,,,(주)라온컴퍼니플러스,20210525,개봉영화,장편,일본,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
104,새것 누구나 처음은 있었다,윤경식,(주)가온콘텐츠,,(주)가온콘텐츠,20210525,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
105,섹스 픽션,,,(주)픽쳐레스크,(주)픽쳐레스크,20210506,개봉영화,장편,미국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
106,옆집아재 무삭제판,카즈마,,,(주)라온컴퍼니플러스,20210517,개봉영화,장편,일본,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
107,욕정의 아내,,,,(주)픽쳐레스크,20210513,개봉영화,장편,일본,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
108,욕정의 제수씨 무삭제판,쇼텐 시로,,,(주)라온컴퍼니플러스,20210517,개봉영화,장편,일본,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
109,욕정의 진찰실 무삭제판,,,,(주)라온컴퍼니플러스,20210525,개봉영화,장편,일본,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
110,유부녀 맛집 무삭제판,나기라 겐조,,,(주)라온컴퍼니플러스,20210525,개봉영화,장편,일본,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
111,크게 만족한 장모님 무삭제판,,,,(주)라온컴퍼니플러스,20210525,개봉영화,장편,일본,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
112,킬버드,,,,(주)제이에이와이이엔터테인먼트,20210528,개봉영화,장편,캐나다,1,300000,60,300000,60,스릴러,15세이상관람가,일반영화
113,한지붕 세가족 무삭제판,양호열,(주)라온컴퍼니플러스,,(주)가온콘텐츠,20210517,개봉영화,장편,한국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
114,훔쳐버린 섹스,,,,(주)픽쳐레스크,20210513,개봉영화,장편,미국,1,300000,60,300000,60,멜로/로맨스,청소년관람불가,일반영화
115,해길랍,채밀결,,오드,오드,20210331,개봉영화,장편,기타,223,341000,52,341000,52,멜로/로맨스,15세이상관람가,독립/예술영화
116,스프링 송,유준상,쥬네스엔터테인먼트,,"주식회사 컨텐츠썬,(주)아우라픽처스",20210421,개봉영화,장편,한국,48,226500,51,67000,13,드라마,전체관람가,독립/예술영화
117,더스트맨,김나경,한국예술종합학교 산학협력단,,(주)트리플픽쳐스,20210407,개봉영화,장편,한국,47,383500,50,207500,24,드라마,12세이상관람가,독립/예술영화
118,인천스텔라,백승기,꾸러기스튜디오,,(주)영화사 그램,20210325,개봉영화,장편,한국,50,282000,44,9000,1,SF,12세이상관람가,독립/예술영화
119,피넛 버터 팔콘,"타일러 닐슨,마이클 슈왈츠",,찬란,(주)팝엔터테인먼트,20210407,개봉영화,장편,미국,141,302000,42,106000,12,드라마,12세이상관람가,독립/예술영화
120,정말 먼 곳,박근영,봄내필름,,그린나래미디어(주),20210318,개봉영화,장편,한국,204,363000,41,363000,41,드라마,12세이상관람가,독립/예술영화
121,카오스 워킹,더그 라이만,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,20210224,개봉영화,장편,미국,780,204000,40,204000,40,어드벤처,15세이상관람가,일반영화
122,당신의 사월,주현숙,(주)시네마달,,(주)시네마달,20210401,개봉영화,장편,한국,59,268000,36,149000,20,다큐멘터리,전체관람가,독립/예술영화
123,초능력 에볼루션,존 라이드,,,(유)조이앤시네마,20210531,개봉영화,장편,미국,19,240900,36,126400,14,SF,15세이상관람가,일반영화
124,미국대전쟁,크리스토퍼 포브스,,,(유)조이앤시네마,20210429,개봉영화,장편,미국,10,26000,26,0,0,서부극(웨스턴),15세이상관람가,일반영화
125,정사4-위험한 사랑,조애나 코츠,,,(유)조이앤시네마,20210422,개봉영화,장편,영국,9,26000,26,0,0,드라마,청소년관람불가,독립/예술영화
126,스페이스 시그널,,,,(유)조이앤시네마,20210531,개봉영화,장편,미국,18,118480,24,53540,8,액션,12세이상관람가,일반영화
127,보더라인,안나 알피에리,,(주)드림팩트엔터테인먼트,THE 픽쳐스,20210415,개봉영화,장편,영국,13,40000,19,17000,3,멜로/로맨스,청소년관람불가,독립/예술영화
128,그리고 방행자,손원경,주식회사 블루필름웍스,,"주식회사 블루필름웍스,THE 픽쳐스",20210311,개봉영화,장편,한국,7,14000,14,14000,14,다큐멘터리,12세이상관람가,독립/예술영화
129,찬실이는 복도 많지,김초희,"(주)지이프로덕션,(주)사이드미러",,찬란,20200305,개봉영화,장편,한국,241,118000,13,118000,13,드라마,전체관람가,독립/예술영화
130,세자매,이승원,(주)영화사 업,,(주)리틀빅픽쳐스,20210127,개봉영화,장편,한국,569,118000,12,118000,12,드라마,15세이상관람가,독립/예술영화
